Lat,Lon,tempC,humidity,DewPointC,precipMM,windspeedKmph,WindGustKmph,Class
4.3234,101.2592,23.6,95,22.7,0,2.1,7.9,0
4.3234,101.2592,23.2,94,22.1,0.1,1.3,7.2,0
4.3234,101.2592,23.1,90,21.4,0,1,5.8,0
4.3234,101.2592,22.9,87,20.6,0,1.5,6.5,0
4.3234,101.2592,22.5,88,20.4,0,1.8,6.8,0
4.3234,101.2592,22.4,87,20.1,0,1.3,5.8,0
4.3234,101.2592,22.1,87,19.7,0,1.3,6.8,0
4.3234,101.2592,21.5,90,19.7,0,2.1,9.4,0
4.3234,101.2592,20.7,94,19.6,0,2.1,11.2,0
4.3234,101.2592,20.4,94,19.3,0,2.9,12.2,0
4.3234,101.2592,20.6,92,19.2,0,3.9,14.4,0
4.3234,101.2592,21.2,88,19.1,0,3.7,16.2,0
4.3234,101.2592,22.1,90,20.5,0,2.7,15.5,0
4.3234,101.2592,24.7,81,21.2,0,2.3,11.2,0
4.3234,101.2592,25.9,78,21.8,0,5.4,19.8,0
4.3234,101.2592,26.9,77,22.4,0,6.9,24.1,0
4.3234,101.2592,27.5,75,22.6,0.1,8,27,0
4.3234,101.2592,27,78,22.8,1.2,9,29.5,0
4.3234,101.3328,23,94,22,2.4,2.2,11.9,0
4.3234,101.3328,24,95,23.1,0.3,4.4,13.7,0
4.3234,101.3328,25.3,92,23.9,0,4,19.1,0
4.3234,101.3328,26.4,85,23.7,0.7,5.2,18,0
4.3234,101.3328,26.1,88,23.9,3.3,5.9,24.5,0
4.3234,101.3328,26,93,24.8,3.1,2.9,24.1,0
4.3234,101.3328,25.5,92,24.2,2.7,3.6,19.8,0
4.3234,101.3328,26.3,90,24.6,4.2,2.4,19.1,0
4.3234,101.3328,25.4,88,23.3,12.5,3.7,14.8,0
4.3234,101.3328,24.6,94,23.6,0.5,1.5,14.8,0
4.3234,101.3328,24.4,92,23,0.2,3.8,16.6,0
4.3234,101.3328,23.5,99,23.4,0.1,2.6,11.5,0
4.3234,101.3328,23.5,99,23.4,0.3,2.9,11.5,0
4.3234,101.3328,22.9,99,22.7,1.2,0.8,9.7,0
4.3234,101.3328,22.6,99,22.4,2.3,3.2,11.5,0
4.3234,101.3328,22.3,99,22.1,0.1,3.1,10.8,0
4.3234,101.3328,22.5,96,21.8,0.5,3.7,13.7,0
4.3234,101.3328,22.1,99,22,0,1.6,13.3,0
4.3234,101.3328,21.9,99,21.7,3.2,2.3,10.8,0
4.3234,101.3328,22.3,96,21.6,2.1,0.5,10.1,0
4.3234,101.3328,21.9,96,21.3,0.1,2.5,6.8,0
4.3234,101.3328,21.6,97,21.1,0.4,3.8,13,0
4.3234,101.3328,22.9,88,20.8,2.2,1.8,11.2,0
4.3234,101.3328,21.3,98,21,0.9,4,14,0
4.3234,101.3328,22.1,99,21.9,0.2,3.4,17.3,0
4.3234,101.3328,22.9,99,22.7,1.6,4.7,16.2,0
4.3234,101.3328,24.4,94,23.4,0.3,1.5,15.8,0
4.3234,101.3328,24.8,94,23.7,0.1,2.7,14.4,0
4.3234,101.3328,25.2,87,22.9,0.1,4.8,21.6,0
4.3234,101.3328,26,83,22.8,0.1,9,32.8,0
4.3234,101.3328,22.9,82,19.6,0,1.8,12.2,0
4.3234,101.3328,24.1,90,22.3,0,3.2,13.7,0
4.3234,101.3328,25.4,90,23.6,0,0,13.7,0
4.3234,101.3328,26.7,73,21.4,0,3.4,16.2,0
4.3234,101.3328,27.8,67,21,0,4.7,19.1,0
4.3234,101.3328,27.9,68,21.4,0,5.3,20.9,0
4.3234,101.3328,28.2,68,21.7,0,6.4,23.4,0
4.3234,101.3328,27.8,70,21.8,0,7.2,25.2,0
4.3234,101.3328,27,75,22.1,0,7.1,24.5,0
4.3234,101.3328,26,81,22.4,0,7.2,23.8,0
4.3234,101.3328,25,88,22.9,0,4.5,22.7,0
4.3234,101.3328,24.3,94,23.3,0,1.8,14,0
4.3234,101.3328,24.5,91,22.8,0,2.2,10.8,0
4.3234,101.3328,23.7,92,22.4,0,2.4,8.6,0
4.3234,101.3328,23.1,93,21.9,0,3.4,12.2,0
4.3234,101.3328,22.1,96,21.5,0,4.1,15.5,0
4.3234,101.3328,21.4,98,21,0,4.4,17.3,0
4.3234,101.3328,21.4,95,20.6,0,4.2,17.6,0
4.3234,101.3328,21.5,93,20.4,0,5.3,18.4,0
4.3234,101.3328,21.5,93,20.2,0,5.3,19.4,0
4.3234,101.3328,21.8,91,20.2,0,2.4,18.4,0
4.3234,101.3328,21.5,91,20,0,3.7,13.7,0
4.3234,101.3328,20.6,95,19.7,0,5,18.7,0
4.3234,101.3328,20.5,94,19.4,0,3.9,18.7,0
4.3234,101.3328,22.2,90,20.4,0,4.5,15.1,0
4.3234,101.3328,26.5,74,21.4,0,1.6,15.1,0
4.3234,101.3328,27.6,65,20.5,0,3.4,14.8,0
4.3234,101.3328,28,66,21,0,6.4,23,0
4.3234,101.3328,28.1,68,21.7,0,7.9,27,0
4.3234,101.3328,28.3,69,21.9,0,6.7,27.7,0
4.3234,101.3328,23.8,89,21.9,0,2.7,18.4,0
4.3234,101.3328,24.9,93,23.6,0,3.7,15.1,0
4.3234,101.3328,26.4,86,23.9,0.1,2.4,14.8,0
4.3234,101.3328,27.2,85,24.5,1.1,5,19.8,0
4.3234,101.3328,27,83,24,8.1,5.9,21.2,0
4.3234,101.3328,26.7,84,23.7,1.7,2.6,23,0
4.3234,101.3328,26.7,86,24.3,0.3,1.4,14,0
4.3234,101.3328,25.1,91,23.6,8.5,8.1,25.6,0
4.3234,101.3328,25.1,96,24.5,1.8,1.3,25.9,0
4.3234,101.3328,24.6,99,24.3,2,0.7,11.2,0
4.3234,101.3328,23.9,98,23.5,2.9,4,13,0
4.3234,101.3328,23.8,99,23.5,0.7,2.2,13.7,0
4.3234,101.3328,23.1,99,22.9,1.4,4.3,13,0
4.3234,101.3328,22.8,99,22.7,0.1,3.9,13.7,0
4.3234,101.3328,22.6,99,22.5,0.1,2.5,13,0
4.3234,101.3328,23,94,22,0,1.8,8.3,0
4.3234,101.3328,22.2,96,21.5,0,2.2,7.9,0
4.3234,101.3328,22.6,93,21.4,0,3.6,12.6,0
4.3234,101.3328,22.3,93,21.2,0,2.8,12.6,0
4.3234,101.3328,22.2,90,20.5,0.2,1.5,12.2,0
4.3234,101.3328,21.4,98,21,1,2.8,11.2,0
4.3234,101.3328,22.2,90,20.6,0.1,4.2,14.8,0
4.3234,101.3328,21.8,93,20.7,0,2.6,14.8,0
4.3234,101.3328,21.6,93,20.5,0,2.7,13,0
4.3234,101.3328,22.4,96,21.6,0,4,17.3,0
4.3234,101.3328,25.1,90,23.3,0,1.9,15.5,0
4.3234,101.3328,26.2,90,24.5,0,2.4,14.8,0
4.3234,101.3328,27.2,80,23.6,0.1,5.1,20.9,0
4.3234,101.3328,26.4,85,23.7,3.5,1.5,22,0
4.3234,101.3328,27.3,80,23.6,0.2,5.6,21.2,0
4.3234,115.3884,21.5,89,19.7,0,7.2,23,0
4.3234,115.3884,22.9,84,20.1,0,8.5,27.4,0
4.3234,115.3884,24,77,19.7,0,9.4,28.8,0
4.3234,115.3884,25.3,74,20.3,0,6.8,29.5,0
4.3234,115.3884,25.1,74,20,0.1,3.2,24.5,0
4.3234,115.3884,23.8,83,20.6,2.9,5.4,26.3,0
4.3234,115.3884,21.9,92,20.6,3.6,8.3,28.1,0
4.3234,115.3884,21.8,100,21.8,0.8,8.4,27.7,0
4.3234,115.3884,21.3,93,20.2,5.5,7.9,26.3,0
4.3234,115.3884,20.8,94,19.8,0.7,7,22.7,0
4.3234,115.3884,20.4,96,19.8,0.8,6.7,22.3,0
4.3234,115.3884,19.9,100,19.9,0.6,3.3,27.4,0
4.3234,115.3884,19.6,97,19.1,0.2,2.6,23,0
4.3234,115.3884,19.3,97,18.8,1.2,2.6,11.5,0
4.3234,115.3884,19.2,97,18.7,0.4,2.3,9.7,0
4.3234,115.3884,19.2,97,18.7,0.3,0.8,9,0
4.3234,115.3884,19.2,98,18.9,0.2,1.9,9.7,0
4.3234,115.3884,19.2,97,18.8,0,2.8,11.5,0
4.3234,115.3884,18.9,98,18.6,0,1.6,11.2,0
4.3234,115.3884,18.9,98,18.5,0,3.6,11.9,0
4.3234,115.3884,18.8,97,18.4,0,5,15.8,0
4.3234,115.3884,18.6,98,18.4,0,5,15.8,0
4.3234,115.3884,18.7,98,18.5,0,6,17.3,0
4.3234,115.3884,19.4,97,18.8,0,6.5,18.7,0
4.3234,115.3884,20.8,91,19.2,0,4.1,19.1,0
4.3234,115.3884,22.4,85,19.8,0,4.2,17.3,0
4.3234,115.3884,24.1,79,20.2,0,5.6,21.6,0
4.3234,115.3884,25.3,72,19.9,0,5.4,22.3,0
4.3234,115.3884,26.3,67,19.7,0,5.1,21.6,0
4.3234,115.3884,27.2,65,20,0,4.3,34.6,0
4.464,115.5037,21.7,85,19.1,0,2.3,21.2,0
4.464,115.5037,22.4,81,19,0.1,3.6,21.6,0
4.464,115.5037,24.2,75,19.5,0,5.7,24.5,0
4.464,115.5037,25.3,72,19.8,0,4.5,29.9,0
4.464,115.5037,23.7,82,20.5,3.5,8.3,35.6,0
4.464,115.5037,22.7,90,21,2.2,3.6,36,0
4.464,115.5037,23.1,96,22.4,1.1,8.2,32,0
4.464,115.5037,22.9,86,20.4,1.5,2.9,32.4,0
4.464,115.5037,21.7,87,19.5,0.4,4.3,24.5,0
4.464,115.5037,21.8,90,20,0.5,4.7,16.6,0
4.464,115.5037,21.1,92,19.8,0.8,0.5,16.2,0
4.464,115.5037,20.7,97,20.1,0.5,2.6,7.2,0
4.464,115.5037,20.6,91,19,2.5,0.4,11.9,0
4.464,115.5037,20.1,94,19.1,0.1,0,5.8,0
4.464,115.5037,19.3,96,18.7,0,3.1,9,0
4.464,115.5037,19.2,97,18.7,0.4,3.1,8.6,0
4.464,115.5037,19.5,95,18.7,1,2.5,8.6,0
4.464,115.5037,19,96,18.4,0.1,2.9,11.5,0
4.464,115.5037,18.5,96,17.9,0,2.9,10.8,0
4.464,115.5037,18.6,95,17.8,0,2.5,9,0
4.464,115.5037,18.4,95,17.6,0,2.9,10.1,0
4.464,115.5037,18.2,94,17.3,0,4,10.4,0
4.464,115.5037,18.1,93,17,0,4.4,11.9,0
4.464,115.5037,20.3,89,18.5,0,5.6,13.7,0
4.464,115.5037,22.6,83,19.5,0,5.5,15.1,0
4.464,115.5037,23.3,80,19.6,0,4.4,15.5,0
4.464,115.5037,23.5,78,19.4,0,4.8,15.5,0
4.464,115.5037,24.2,74,19.3,0.1,3.9,16.2,0
4.464,115.5037,25.4,69,19.3,0,3.6,16.2,0
4.464,115.5037,26.4,65,19.4,0,2.8,16.2,0
4.464,115.43,23.9,81,20.4,0,3.6,13.3,0
4.464,115.43,25.5,74,20.6,0,3.3,13.3,0
4.464,115.43,26.5,74,21.5,0,4.4,16.6,0
4.464,115.43,27.2,75,22.3,0,5.4,19.4,0
4.464,115.43,27.6,73,22.4,0.1,6.8,22.3,0
4.464,115.43,27.7,74,22.6,0.2,8.5,26.3,0
4.464,115.43,27,80,23.2,0.4,7.6,27.4,0
4.464,115.43,26.1,85,23.4,0.1,5.1,24.5,0
4.464,115.43,25.3,87,23,2.7,5.6,23.4,0
4.464,115.43,24.9,92,23.5,0.5,6.8,23,0
4.464,115.43,23.9,94,23,0.3,4.6,23.4,0
4.464,115.43,23.4,96,22.7,0.1,2.4,12.6,0
4.464,115.43,23.6,97,23,0.2,3.4,12.6,0
4.464,115.43,23.5,96,22.9,0.7,1.8,11.5,0
4.464,115.43,23.6,96,22.9,0.4,2.2,13.7,0
4.464,115.43,22.8,96,22.1,0,4,10.8,0
4.464,115.43,22,96,21.4,0,4.3,9.7,0
4.464,115.43,21.4,95,20.7,0,4.1,10.4,0
4.464,115.43,21.1,94,20.1,0,3.8,10.8,0
4.464,115.43,20.8,93,19.7,0,4.3,13,0
4.464,115.43,20.1,93,19,0,6.1,15.5,0
4.464,115.43,20.4,93,19.2,0,5,16.6,0
4.464,115.43,20.2,93,19,0,4.9,15.5,0
4.464,115.43,21.7,89,19.8,0,7.3,16.6,0
4.464,115.43,24.1,84,21.1,0,4.3,17.3,0
4.464,115.43,25.7,77,21.4,0,2.5,13.7,0
4.464,115.43,26.6,76,22.1,0,4,20.2,0
4.464,115.43,26.6,78,22.5,0.3,7.6,28.1,0
4.464,115.43,25.8,86,23.3,1.4,6.5,30.2,0
4.464,115.43,25,85,22.3,2.5,8,25.2,0
4.464,115.43,22.5,85,19.9,0,2.9,15.5,0
4.464,115.43,24,82,20.8,0,3.4,14.8,0
4.464,115.43,25.1,78,20.9,0,2.8,14.8,0
4.464,115.43,25.9,76,21.4,0.1,5.7,19.1,0
4.464,115.43,25.5,80,21.7,1.9,8.4,24.5,0
4.464,115.43,24.6,87,22.3,2,4.6,27,0
4.464,115.43,24.6,85,22,0.4,5.5,18.7,0
4.464,115.43,24.9,84,22.1,0.4,3.4,18.4,0
4.464,115.43,25.5,84,22.5,0.1,5.9,18,0
4.464,115.43,23.8,87,21.4,1.4,2.3,18.7,0
4.464,115.43,23.3,90,21.7,0.3,0.5,10.1,0
4.464,115.43,22.7,92,21.4,0,3.3,6.1,0
4.464,115.43,21.9,96,21.2,0,3.7,10.4,0
4.464,115.43,21,96,20.4,0,4.6,13.3,0
4.464,115.43,20.3,96,19.7,0,5.4,15.1,0
4.464,115.43,20.3,94,19.4,0,4.8,14.4,0
4.464,115.43,20.3,93,19.1,0,3.6,11.5,0
4.464,115.43,19.7,95,18.8,0,4.6,11.2,0
4.464,115.43,19.3,95,18.5,0,5.1,13.7,0
4.464,115.43,18.9,95,18.1,0,4.8,14.4,0
4.464,115.43,18.8,94,17.8,0,4.8,14.4,0
4.464,115.43,18.6,94,17.6,0,4.6,15.1,0
4.464,115.43,18.6,93,17.4,0,5.1,17.3,0
4.464,115.43,20.3,90,18.6,0,7.7,21.6,0
4.464,115.43,22.7,86,20.3,0,6.2,22.3,0
4.464,115.43,24.8,81,21.4,0,5.4,20.5,0
4.464,115.43,26.9,70,21,0,6.3,24.1,0
4.464,115.43,28.3,62,20.2,0,1.5,22,0
4.464,115.43,28.1,66,21.2,0,4.3,26.3,0
4.464,115.43,27.3,75,22.5,1.9,6.3,32.8,0
4.464,115.43,23.5,87,21.2,0,6.9,19.4,0
4.464,115.43,25.4,79,21.5,0,2.3,20.9,0
4.464,115.43,25.2,80,21.6,1.6,5.7,18.7,0
4.464,115.43,24.9,86,22.4,0,4.7,19.8,0
4.464,115.43,24.8,92,23.5,0.3,7.7,25.2,0
4.464,115.43,25.1,94,24.1,0.3,5.5,24.8,0
4.464,115.43,24.8,92,23.5,0.3,4.5,19.4,0
4.464,115.43,24.7,87,22.3,0.2,2.5,16.9,0
4.464,115.43,23.6,94,22.5,0.5,3.2,15.8,0
4.464,115.43,23.1,95,22.3,0.6,3.3,13,0
4.464,115.43,22.5,99,22.4,1.3,0.5,12.6,0
4.464,115.43,22.7,96,22,0.6,1.8,7.6,0
4.464,115.43,22.6,95,21.8,1.8,1.9,8.6,0
4.464,115.43,22.8,94,21.7,0.4,1.9,9,0
4.464,115.43,22.7,94,21.8,0.5,0.5,9,0
4.464,115.43,22.7,95,21.8,0.1,2.2,6.1,0
4.464,115.43,23,88,20.8,0.1,1.8,6.8,0
4.464,115.43,22.2,93,21,0.1,3.1,11.5,0
4.464,115.43,21.6,94,20.6,0.1,4,13.7,0
4.464,115.43,21.5,93,20.2,0,4.1,14.8,0
4.464,115.43,21,94,20,0,4.2,16.2,0
4.464,115.43,21.3,92,19.9,0,5.2,16.6,0
4.464,115.43,21.1,92,19.8,0,4.3,17.3,0
4.464,115.43,22,90,20.2,0,6.9,19.4,0
4.464,115.43,23.7,84,20.8,0,4.7,24.8,0
4.464,115.43,24.8,78,20.8,0,4.8,15.8,0
4.464,115.43,25.5,75,20.8,0,1.6,15.8,0
4.464,115.43,26.4,73,21.2,0.1,3.3,15.8,0
4.464,115.43,26.6,73,21.4,0.1,3.6,20.2,0
4.464,115.43,26.6,72,21.2,0.1,1.1,16.2,0
5.5185,116.4925,19.7,90,17.9,0,3.6,16.9,0
5.5185,116.4925,21.1,88,19,0,4.6,23.8,0
5.5185,116.4925,21.8,82,18.5,0.2,5.9,27.4,0
5.5185,116.4925,21.8,81,18.4,0.3,5.1,26.3,0
5.5185,116.4925,20.7,92,19.3,3.2,5.4,25.2,0
5.5185,116.4925,21.7,96,21,0.7,3.3,24.1,0
5.5185,116.4925,22.8,94,21.8,0.4,3.6,22,0
5.5185,116.4925,21.7,96,20.9,3.9,4.7,20.9,0
5.5185,116.4925,20.8,98,20.5,1.3,3.7,20.2,0
5.5185,116.4925,20.4,98,20.1,0.1,3,15.8,0
5.5185,116.4925,19.8,98,19.5,0.1,5.4,16.9,0
5.5185,116.4925,18.3,100,18.3,0,3.3,18.4,0
5.5185,116.4925,18.7,99,18.5,0,5.2,21.2,0
5.5185,116.4925,18.4,98,18,0,5.8,24.8,0
5.5185,116.4925,18.3,98,17.9,0,6,26.3,0
5.5185,116.4925,18.4,98,18,0,6.5,28.4,0
5.5185,116.4925,18.3,98,18,0,6.5,29.9,0
5.5185,116.4925,18.4,99,18.2,0,5,29.9,0
5.5185,116.4925,18.6,98,18.3,0,5.1,25.2,0
5.5185,116.4925,18,98,17.7,0,3.3,22.7,0
5.5185,116.4925,16.7,98,16.5,0,5.4,19.8,0
5.5185,116.4925,16.4,98,16.1,0,5.5,19.4,0
5.5185,116.4925,16.3,98,16,0,4.5,19.8,0
5.5185,116.4925,18.4,97,17.9,0,5.4,21.6,0
5.5185,116.4925,19.5,92,18.1,0,4,28.1,0
5.5185,116.4925,21.2,83,18.2,0,5.4,22.3,0
5.5185,116.4925,22.4,77,18.2,0.1,7.4,31.3,0
5.5185,116.4925,23.3,75,18.6,0.2,7.8,32.8,0
5.5185,116.4925,23.9,73,18.8,0.7,7.3,29.9,0
5.5185,116.4925,24,70,18.1,0.7,5,27,0
5.4482,116.4706,20.3,94,19.3,0.1,3.4,20.2,0
5.4482,116.4706,21.4,93,20.2,0,5.9,23,0
5.4482,116.4706,22.4,97,21.8,0.3,6.4,27,0
5.4482,116.4706,22.5,96,21.8,0.4,8.2,29.5,0
5.4482,116.4706,23.2,81,19.7,1.6,9.9,32.4,0
5.4482,116.4706,23.9,77,19.6,1.8,7.9,31.7,0
5.4482,116.4706,22.6,82,19.3,0.5,8.2,29.2,0
5.4482,116.4706,22.7,82,19.5,0.2,6,27.7,0
5.4482,116.4706,22.4,83,19.3,0.1,4.8,23.4,0
5.4482,116.4706,21.8,85,19.2,0.1,4.2,15.5,0
5.4482,116.4706,20.8,91,19.3,0.2,4.8,11.9,0
5.4482,116.4706,19.4,95,18.5,0.3,4.2,13.3,0
5.4482,116.4706,19.1,97,18.6,0,2.3,11.9,0
5.4482,116.4706,18.7,94,17.7,0.1,3.5,7.6,0
5.4482,116.4706,18.6,95,17.7,0.3,3.6,10.4,0
5.4482,116.4706,18.7,95,18,0.2,2.9,12.2,0
5.4482,116.4706,18.4,97,17.9,0,3.5,9.7,0
5.4482,116.4706,18.7,97,18.2,0,0.7,8.6,0
5.4482,116.4706,17.3,99,17.1,0,2.6,6.1,0
5.4482,116.4706,17.4,98,17.2,0,2.9,7.6,0
5.4482,116.4706,17.5,98,17.2,0,2.7,8.3,0
5.4482,116.4706,17,98,16.6,0,3.6,7.6,0
5.4482,116.4706,17.3,96,16.7,0,2.9,8.3,0
5.4482,116.4706,18.4,97,17.9,0,3.4,10.1,0
5.4482,116.4706,19.8,95,18.9,0,2.6,10.1,0
5.4482,116.4706,21.2,95,20.4,0.1,4,21.6,0
5.4482,116.4706,22,90,20.2,0.3,5.8,25.9,0
5.4482,116.4706,22,90,20.3,0.9,4.1,26.3,0
5.4482,116.4706,23,81,19.7,0.3,5.6,22.3,0
5.4482,116.4706,22.2,86,19.8,2.8,6.3,21.6,0
5.4482,116.4706,19.5,98,19.1,0.2,3.9,29.2,0
5.4482,116.4706,20.1,95,19.2,0.2,7.8,22.3,0
5.4482,116.4706,20.4,91,18.9,0.1,8.6,25.2,0
5.4482,116.4706,21,84,18.2,1.1,9.7,27,0
5.4482,116.4706,19.9,99,19.7,2.4,8.4,27.4,0
5.4482,116.4706,20.6,91,19,0.7,9.9,27.7,0
5.4482,116.4706,20.5,91,18.9,0.3,10.6,28.8,0
5.4482,116.4706,20.6,91,19.1,0.2,11.2,31,0
5.4482,116.4706,20.6,91,19,0.1,9.2,32.4,0
5.4482,116.4706,20.9,88,18.9,0.1,5.9,27.4,0
5.4482,116.4706,20.2,93,18.9,0,4,18.7,0
5.4482,116.4706,19.4,96,18.7,0,2.3,14,0
5.4482,116.4706,19.3,94,18.2,0,4.7,10.8,0
5.4482,116.4706,18.6,99,18.5,0.1,4.1,13,0
5.4482,116.4706,19.1,95,18.3,0,3.1,10.8,0
5.4482,116.4706,18.8,96,18.2,0,2.9,9.7,0
5.4482,116.4706,19.2,92,17.8,0,3.6,11.5,0
5.4482,116.4706,19.3,87,17.1,0,4.8,14.4,0
5.4482,116.4706,19.3,85,16.7,0,5.6,16.2,0
5.4482,116.4706,19.2,84,16.4,0,6.1,17.3,0
5.4482,116.4706,19,84,16.3,0,7.1,19.8,0
5.4482,116.4706,18.8,84,16.1,0,6.4,19.8,0
5.4482,116.4706,18.5,83,15.7,0,5.7,18.4,0
5.4482,116.4706,19.4,87,17.1,0,7.7,19.4,0
5.4482,116.4706,20.2,93,19,0,5.6,20.2,0
5.4482,116.4706,22.4,82,19.1,0,3.7,18.4,0
5.4482,116.4706,23.4,71,17.9,0.1,4.3,18.7,0
5.4482,116.4706,24,66,17.3,0.1,2.5,19.1,0
5.4482,116.4706,23.6,68,17.4,0.2,1.1,15.5,0
5.4482,116.4706,23.3,70,17.5,0.2,4,17.3,0
5.5185,116.4925,19.6,87,17.3,0,0.7,15.8,0
5.5185,116.4925,20.8,81,17.4,0.1,2.5,13,0
5.5185,116.4925,21.1,82,18,0.1,3.4,14,0
5.5185,116.4925,22.4,75,17.8,0.1,3.4,16.9,0
5.5185,116.4925,23.2,75,18.6,0.2,3.7,19.1,0
5.5185,116.4925,23.8,75,19.1,0.2,6.2,22.3,0
5.5185,116.4925,20.5,90,18.7,9.2,3.7,24.5,0
5.5185,116.4925,20.7,90,19,0.2,2.3,16.2,0
5.5185,116.4925,20.6,92,19.2,0.2,1.3,13.7,0
5.5185,116.4925,20.7,89,18.8,0.9,1.3,10.1,0
5.5185,116.4925,19.7,98,19.4,0.1,1.1,6.8,0
5.5185,116.4925,19.5,98,19.1,0.2,2.1,7.2,0
5.5185,116.4925,19.3,96,18.7,0.1,1.1,7.2,0
5.5185,116.4925,18.9,99,18.7,1.1,0.8,7.9,0
5.5185,116.4925,18.9,99,18.7,0.4,1.6,7.6,0
5.5185,116.4925,18.6,99,18.4,0.8,1.5,7.9,0
5.5185,116.4925,18.3,99,18.2,0.4,1.5,6.5,0
